epoch,loss,lr,val_loss
0,0.692877216426,0.001,0.649069755278
1,0.584536119982,0.001,0.528954307935
2,0.521192362472,0.001,0.501728449066
3,0.489303034984,0.001,0.469790941655
4,0.472045856443,0.001,0.447211282233
5,0.462698834349,0.001,0.431372545526
6,0.456802102691,0.001,0.419868325476
7,0.452397982479,0.001,0.431902294683
8,0.448170548945,0.001,0.417736289107
9,0.443268306354,0.001,0.40970929052
10,0.440055283424,0.001,0.417196799183
11,0.436987056902,0.001,0.413449415245
12,0.433696613098,0.001,0.404198173771
13,0.430719081101,0.001,0.401396047014
14,0.429381559703,0.001,0.397687512218
15,0.427700095819,0.001,0.40547480992
16,0.42600054886,0.001,0.397948262051
17,0.425019574262,0.001,0.403346842016
18,0.423195810201,0.001,0.398850006509
19,0.422059825658,0.001,0.399845510832
20,0.421406605546,0.001,0.401822451227
21,0.419283775448,0.0009,0.391983831527
22,0.417642879394,0.0009,0.390698949911
23,0.417563939044,0.0009,0.392729769787
24,0.416063828129,0.0009,0.38866911051
25,0.415395540059,0.0009,0.389096408246
26,0.413923639301,0.0009,0.391685034342
27,0.413575774691,0.0009,0.39022478709
28,0.412076008874,0.0009,0.3895916059
29,0.411836230441,0.0009,0.389694613401
30,0.411690062614,0.0009,0.385027223451
31,0.411079812289,0.0009,0.381738527816
32,0.410380455239,0.0009,0.389033495984
33,0.409439752497,0.0009,0.384076977947
34,0.409279257742,0.0009,0.389078176541
35,0.409234138707,0.0009,0.387515126521
36,0.409293807508,0.0009,0.383548539187
37,0.408461892815,0.0009,0.382550662375
38,0.407071944148,0.00081,0.38043362728
39,0.406357407297,0.00081,0.380683261484
40,0.406348929236,0.00081,0.381770811659
41,0.405945646087,0.00081,0.380755227977
42,0.405554429383,0.00081,0.382872910648
43,0.405692683205,0.00081,0.384029118521
44,0.405897624036,0.00081,0.384447611068
45,0.403601947078,0.000729,0.384693576626
46,0.403527511843,0.000729,0.388896130799
47,0.403399065184,0.000729,0.380198830281
48,0.403161727385,0.000729,0.381929516567
49,0.402722372865,0.000729,0.380699357002
50,0.402495550129,0.000729,0.386452781947
51,0.403095236695,0.000729,0.378726210672
52,0.402610691637,0.000729,0.379437419169
53,0.4026426292,0.000729,0.379861956949
54,0.402189725763,0.000729,0.378402227204
55,0.402326543597,0.000729,0.385728863617
56,0.402053237898,0.000729,0.380314154659
57,0.401771651531,0.000729,0.382679526249
58,0.401375427137,0.000729,0.379907678084
59,0.402108852337,0.000729,0.377441152884
60,0.401210566623,0.000729,0.380655803583
61,0.401168306409,0.000729,0.375728337272
62,0.401617717074,0.000729,0.386494288002
63,0.401028208285,0.000729,0.384981833108
64,0.40100645717,0.000729,0.382345350701
65,0.400979305932,0.000729,0.380011901341
66,0.400820795623,0.000729,0.378282052997 
