epoch,loss,val_loss
0,0.818212774631,0.426976849191
1,0.390053131735,0.231945460677
2,0.362247324028,0.229983031936
3,0.383010105924,0.273511470139
4,0.404191411588,0.250828166567
5,0.355136174049,0.68788122426
6,0.341982173364,0.3953618441
7,0.368427939031,0.258311381139
8,0.341768920933,0.220498560026
9,0.330571902348,0.223440750629
10,0.358467253517,0.277495377705
11,0.354649537618,0.437180514157
12,0.356783447189,0.384723264955
13,0.344731263896,0.279698460881
14,0.377430037905,0.245212249447
15,0.349185121233,0.230439179804
16,0.327774395305,0.573635194361
17,0.361603853862,0.258128158949
18,0.354772470545,0.210731775183
19,0.330266136468,0.296391016878
20,0.357248371479,0.381971027706
21,0.365109656109,0.248396472842
22,0.345280166584,0.354485613964
23,0.341414404714,0.521483568177
24,0.360835160635,0.222202808116
25,0.347447221775,0.307949169453
26,0.331932323621,0.245816078804
27,0.362330154392,0.352309555233
28,0.36173288432,0.221788897801
29,0.337914765106,0.276944057234
